# Task: cycling,,,,,,
# Frequency (Hz): 20,,,,,,
# Clock (millisecond): 250,,,,,,
# Duration (seconds): 120,,,,,,
# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
14000,37.5,1.12,16.5,3.64,12.75,4.66
14250,40,1.22,14.75,2.17,19,2.74
14500,40,4.18,17,1.58,21.5,2.87
14750,31.5,3.35,21,3.56,24.67,0.94
15000,30.25,5.85,20.25,2.95,19.75,3.03
15250,33,5.2,18.75,3.9,17.5,4.15
15500,39,0.82,15.67,4.99,22,1
15750,40.75,1.3,13,3.16,12.67,7.36
16000,39,2.16,16.67,3.4,20,4.06
16250,33.75,3.11,24,1.41,19.5,4.97
16500,34.25,6.38,20,3.24,17.5,0.87
16750,36.75,2.49,19.25,4.76,12.25,7.15
17000,39.33,2.49,15,0,16,5.74
17250,38.33,1.25,17.33,3.68,25,2.45
17500,30.5,3.64,26.33,0.94,21.67,4.5
17750,33.75,4.49,21.75,1.3,21.5,1.12
18000,38.5,0.87,20,2.16,14,6.16
18250,41.33,0.47,13.67,0.94,19.5,4.5
18500,40,1.63,13.75,3.27,19,5.1
18750,32.75,4.44,28,0.82,25,2.16
19000,29.67,4.92,19.33,1.25,21.25,1.92
19250,37.75,1.09,18,4.74,12,5.52
19500,39,0.71,16.75,4.76,21.25,3.27
19750,42,1,15,2.55,12.25,6.76
20000,31.67,3.68,20,2.83,23,1.58
20250,28.75,3.27,25,1.41,19,2.83
20500,35.67,2.05,21.67,3.3,20,1.22
20750,38.5,0.87,19.33,3.86,11,3
21000,40,1.22,13.5,4.72,20.25,3.9
21250,41,1,10,0,22,3
21500,34,4.6,21,4.95,26.33,2.49
21750,30.67,6.55,16.67,8.34,19.75,1.3
22000,35.25,3.11,17.75,2.59,15,3.08
22250,38.75,0.43,14.75,8.9,21.5,2.6
22500,41.5,0.5,12.5,1.8,13,6.4
22750,37,3.74,20.33,3.3,23.5,1.66
23000,29.25,3.96,24.25,2.49,16.5,3.2
23250,32.75,5.21,19.5,4.5,19.5,1.5
23500,38.25,0.83,16.25,6.1,9.75,4.6
23750,39.33,1.25,12.25,7.29,20.33,7.41
24000,39.5,1.5,17.5,2.5,18,3
24250,37,2.83,25.67,1.25,26.25,3.11
24500,34.33,3.3,22,0.82,16.25,3.27
24750,37.5,3.35,21.75,4.15,15,3
25000,37.5,0.87,18.75,3.56,18.75,4.44
25250,40.5,1.5,13.5,1.12,13.75,6.34
25500,40.25,2.05,17.5,4.27,22,5.15
25750,33.25,3.49,25,1.22,21.75,3.77
26000,34.25,6.5,17,2,21,0
26250,38.5,0.5,17,1,12.67,2.05
26500,39.25,0.43,16.25,4.09,22.5,2.6
26750,42.33,0.94,14,1.63,17.33,7.41
27000,38.25,1.79,18,5.39,25.5,2.06
27250,34.67,2.62,22.75,1.64,15.33,1.7
27500,31,5.34,17.5,4.15,19,2.45
27750,35.25,3.11,14.75,8.04,14.75,1.64
28000,38.5,0.5,18,4.24,21.5,2.6
28250,41,1.58,13.5,2.06,12.5,7.83
28500,34.5,5.17,20.5,3.2,24,3.08
28750,32.5,2.29,24.5,1.5,18.5,3.35
29000,36.75,3.27,19,7.12,16,2.83
29250,38,0.71,20.67,2.36,18.5,0.5
29500,37.67,1.25,15,5.34,20.67,2.49
29750,40.5,1.66,11,5.61,16.75,5.07
30000,38,5.66,20,0,18.33,4.64
30250,34.5,3.2,25.5,1.5,18.5,4.92
30500,29.5,7.79,21.75,2.49,19.25,3.7
30750,31.75,5.21,20.5,2.06,16.75,4.92
31000,38,1.22,17.25,4.44,20.25,6.5
31250,41,1.22,11.75,6.02,17.5,3.77
31500,37,3.24,17.25,3.96,26.5,2.5
31750,32.75,3.27,25.25,0.83,22.5,4.03
32000,34.5,7.5,21,2.49,19.75,1.79
32250,34,4.06,19,1,15,0
32500,38.67,0.47,17.75,4.82,21.33,2.36
32750,41.75,0.43,13.25,3.03,13.75,4.76
33000,31,2.6,22,3.46,20,4.69
33250,28,2.16,19,0.82,17.5,3.57
33500,32.5,5.55,17.75,3.9,18.25,2.68
33750,37.5,1.5,18.25,4.92,13,2.16
34000,41.5,0.5,15.5,2.87,18,3.67
34250,40.75,2.77,18,0,24,0
34500,35,3.08,21.75,2.49,26.25,0.83
34750,30.67,0.94,23.5,0.87,13.5,3.5
35000,31,8.86,19.5,4.97,19.25,0.83
35250,28.67,6.13,22,0.82,15.25,3.9
35500,37.5,1.5,18.75,3.42,20,4.18
35750,41.5,1.5,15.75,3.34,15.5,6.5
36000,37.5,3.2,20,2.74,25.75,2.28
36250,35,3,23.75,1.79,16.5,6.54
36500,28,7.04,21,0,14.33,3.3
36750,36.25,5.72,18,3,15,7.35
37000,36,3.54,18.5,3.5,13,2.12
37250,38.33,0.94,18.25,3.27,12.33,7.59
37500,40.5,1.5,11.25,1.92,19.75,3.03
37750,35.33,4.11,19.67,0.94,22,3.24
38000,35.25,1.48,22,1.22,23,5.79
38250,30.25,0.83,17,1.22,14,4.74
38500,39.33,2.05,20.33,0.94,17.5,2.96
38750,36.5,2.29,17.75,2.95,13.5,4.03
39000,39,0,18.5,3.04,19,6.96
39250,40.75,1.3,15.67,2.87,17.75,3.03
39500,36.5,2.96,21.25,2.05,24.5,2.69
39750,34,2.74,24.33,0.47,13.67,9.57
40000,31,1.41,19,1.87,15.33,4.03
40250,38,1.41,19.75,3.63,19.67,1.25
40500,36.33,3.09,18.33,3.09,13.25,1.92
40750,39,0,20.25,2.49,19.5,4.03
41000,41.5,0.87,17,2.12,17.25,4.44
41250,35.5,4.5,20.5,2.5,18,3.67
41500,33,4.9,23.75,1.79,20,8.4
41750,31,0.71,20.5,2.29,16.67,3.3
42000,36,5.61,19,2.92,17.25,3.34
42250,36.75,2.28,18.75,3.27,14.75,2.17
42500,38.75,0.43,19,3.24,19.25,4.44
42750,41,1.22,14.5,0.87,15.75,5.12
43000,40.25,2.49,17.75,2.86,19.75,6.14
43250,35.5,1.66,23,1.22,22.25,8.81
43500,31.5,1.5,22,1.63,12,7.79
43750,31,6.82,15,2.24,22,1
44000,33,5.61,19.75,1.79,18.75,2.49
44250,36.5,0.87,21.25,2.28,14.25,2.49
44500,39,0,15.75,1.3,23,1.41
44750,42,0,14.33,2.62,12.5,4.5
45000,38.25,6.5,18,3.94,16.75,4.44
45250,34.33,1.7,24,1.41,21.67,2.62
45500,31.25,1.09,19.25,1.09,15,5.2
45750,29.25,7.26,18.25,1.3,19.5,2.69
46000,34.5,9.71,18.25,7.73,17.75,4.6
46250,34.5,2.6,18.25,3.9,14.25,3.9
46500,37.75,1.3,13.25,4.76,20.25,3.77
46750,41.75,0.43,13.75,2.49,15.25,2.95
47000,38.25,2.49,19.67,1.25,25,2.94
47250,35,3.74,22.25,2.05,7.67,4.19
47500,33.5,3.84,17.5,0.87,17.25,3.9
47750,38,2.35,21,0.82,16.33,3.86
48000,38,0.82,18,3.67,13.67,1.25
48250,39.25,0.43,16,3.74,20.75,2.49
48500,37.67,0.94,12.33,0.47,21.75,1.92
48750,40.75,1.3,10.75,5.07,17.5,2.29
49000,32.25,3.9,21.75,2.49,21,3.67
49250,31.67,1.25,22.33,1.7,13.5,6.54
49500,36.5,2.87,18.75,3.83,14.75,3.9
49750,34,4.06,19,1.58,13.25,1.64
50000,38.25,1.3,20,2.12,21,2.55
50250,41,1.22,15.75,1.92,13.5,6.69
50500,38,5.83,16.75,4.09,16,5.05
50750,34.75,2.17,23.75,1.09,20,5.34
51000,29,4.74,20.67,2.05,19.5,0.5
51250,30.75,8.07,18,3.54,19.75,1.48
51500,32,7.12,18.25,2.77,15,2.45
51750,37.5,1.12,18.25,3.83,19.33,2.62
52000,40.25,1.79,12.5,2.6,19.25,4.92
52250,41.25,1.3,15.75,5.31,13.75,2.49
52500,35.25,2.49,23.25,1.92,21.75,5.76
52750,27,4.24,18.33,4.5,16.75,5.49
53000,32,7.12,21,0.82,19,1.58
53250,35.25,3.27,18.5,4.39,13,4.97
53500,39,0,18.25,3.19,19.5,0.5
53750,41,1.22,15.67,1.7,14.5,2.6
54000,39,2.12,17.5,4.97,25.75,2.86
54250,32.75,2.68,22,2.45,18.25,5.85
54500,32.33,2.62,13.5,1.5,17.5,2.5
54750,36,3,16.5,0.5,19,0
55000,37.67,1.25,17,2.16,20.5,0.5
55250,41.75,1.09,16.25,2.49,18,3.67
55500,42.67,1.7,13.33,5.56,12,4.95
55750,36.75,2.49,22,2.74,22.75,6.3
56000,29.75,2.17,17.25,4.44,16.75,3.63
56250,31,9.67,14,5.89,18.67,0.94
56500,32,5.66,18,3.54,14,4
56750,38.33,1.7,19.67,1.89,18.25,2.28
57000,42.25,1.48,15.33,2.05,17.25,3.9
57250,36,4.24,19.25,3.27,25.75,2.77
57500,32.25,2.28,19.5,2.96,15.25,5.63
57750,34.75,3.03,16.25,4.09,16.75,3.27
58000,36.75,2.28,14.75,7.36,14.5,0.5
58250,39.25,0.43,14.75,5.07,17.25,2.59
58500,41.5,0.5,9.5,2.29,10.25,3.27
58750,39.5,3.77,14.75,4.49,20.25,6.83
59000,33.67,3.3,19.67,3.4,25.5,1.5
59250,32,4.85,13.25,5.67,19.25,1.09
59500,31,6.48,22,1.41,18,0
59750,37.5,1.12,19.75,2.59,14.25,7.56
60000,40.33,1.25,13.5,3.2,19.33,3.77
60250,42,0.82,15,1.22,20.33,2.62
60500,35.75,2.86,20,2.83,24.67,2.62
60750,33,1.87,22.25,1.3,15.67,2.62
61000,30.5,5.5,14.5,6.5,18,5.2
61250,29.25,6.83,17.25,3.77,15.75,3.7
61500,37.25,1.3,19.5,4.5,20.5,2.06
61750,39.5,1.5,14,1.22,13.5,7.63
62000,42.25,0.43,13.33,4.5,18.5,4.03
62250,37,2.45,22.75,2.77,24.25,7.15
62500,31,1.87,19.5,5.02,17.5,2.29
62750,34.25,3.63,19.5,3.2,17.5,2.87
63000,37,1.22,16.33,4.19,17,2.45
63250,39.25,0.43,19.25,3.03,21,0
63500,42,0.82,14.33,0.94,12.33,5.79
63750,40.67,1.25,16.25,4.26,20.67,2.87
64000,34.75,2.05,23.25,1.3,24.75,2.86
64250,31.25,1.3,21,1,15,2.94
64500,39,2.45,21.33,2.05,15.33,2.05
64750,36.75,0.83,19.25,3.03,16.5,3.57
65000,39.25,0.43,19,3.81,19.75,0.83
65250,41.25,1.3,13.25,1.92,17.5,0.87
65500,38.75,5.07,17.67,1.89,20,4.36
65750,34.5,2.6,23.67,1.25,23.5,3.5
66000,31.33,0.94,21.67,0.47,17.5,0.5
66250,31,8.99,17.25,6.61,20.2,1.94
66500,34,5.87,17.75,4.32,15.5,2.6
66750,40.25,1.3,17.25,5.36,21.5,0.87
67000,42.25,0.43,15.75,2.28,14.33,2.49
67250,36,4.9,17.5,3.57,21.67,1.7
67500,32,2.83,21.5,2.6,20.33,4.11
67750,35.4,3.38,18.75,2.59,16.4,3.01
68000,34.67,3.4,21,3,16,3
68250,38.67,0.47,18.67,6.13,20.25,3.27
68500,40.5,1.12,16.67,2.36,21.25,4.76
68750,41.75,0.43,13.67,1.25,16.5,4.03
69000,35.67,2.05,20,2.94,25.5,6.1
69250,34.25,2.77,20.33,4.11,19.67,7.85
69500,37.5,3.35,21.5,2.87,18,1.41
69750,34.5,3.2,19,2.35,15.67,4.78
70000,39.5,0.5,17.75,3.96,19,1.58
70250,41.75,1.09,13.33,1.25,16.33,2.36
70500,38.25,2.49,20,0.82,23.33,3.3
70750,37,1.41,24.25,0.43,25,5.1
71000,30,0,19.67,2.49,8,2.12
71250,34.6,6.56,17.4,3.67,11.5,4.09
71500,36.33,0.47,15,0,15.25,7.98
71750,39.33,0.47,10.67,4.5,16.25,4.55
72000,42,0,15,5.24,18,4.47
72250,37.25,1.79,18.75,4.44,21.25,3.7
72500,31.25,1.79,23.5,1.5,11.25,3.96
72750,37.5,1.5,20,2.16,15.33,2.87
73000,38.25,1.09,15.25,7.08,12,5.24
73250,43,1.22,7.5,4.5,14,2
73500,39,3.67,7.4,4.03,21.6,2.33
73750,32.25,4.44,9,4.24,16,2.83
74000,24.33,3.3,11.33,2.05,19.33,5.25
74250,34.67,7.59,13.67,5.25,14.25,6.76
74500,34.75,3.34,17.75,3.96,16.75,3.96
74750,40.25,0.83,13,2.94,15.33,2.05
75000,41.25,1.3,18.25,3.7,19,1.41
75250,36.5,2.29,13.33,4.71,21,1.87
75500,26.33,5.25,12.75,4.66,13.33,8.73
75750,33.25,9.63,14.75,7.19,13.25,3.49
76000,31.5,8.08,13.67,6.18,15.67,5.73
76250,38.33,0.47,13.25,2.38,11.5,0.5
76500,42.25,0.43,13,2.74,20.33,0.94
76750,31,2.94,16.33,5.25,19.25,1.3
77000,27,5.61,15.25,5.36,20.25,4.92
77250,34.75,1.79,18.25,3.7,17.5,4.61
77500,37.25,1.64,18.75,2.17,15.25,2.17
77750,42.67,0.94,11.67,0.47,18,1.87
78000,37.75,5.8,14.33,2.05,18,2.45
78250,31.25,5.07,16,4.06,17,2.12
78500,25.67,1.7,19.75,2.77,24,4.24
78750,33,7.58,20.5,3.2,17.75,6.02
79000,38.5,1.5,17.33,0.94,17.75,5.63
79250,41.67,0.47,14,2.16,13,2.83
79500,37.25,3.7,16.25,1.09,18,3.67
79750,32.75,3.9,19.33,1.25,11,1.41
80000,29.5,7.37,17.25,7.26,18.75,5.36
80250,34.25,3.7,21,3.67,18.5,4.5
80500,38.75,1.79,16.75,3.49,24.75,2.49
80750,41.75,1.64,17.25,2.28,21,3.08
81000,34.5,4.5,20,3.24,21,1.87
81250,31,3.08,23.75,2.17,15,3
81500,36.5,4.82,17,2.16,15.67,5.56
81750,33.75,3.9,18.25,1.79,13.25,3.27
82000,39,0.82,18,3.94,19,2.94
82250,41.25,1.48,13,2.74,15.5,4.39
82500,37.75,3.42,16,2.74,20,5.34
82750,36,2.16,24,0,23.75,6.8
83000,34,4.74,20,2.12,18,4.24
83250,32,6.82,20.5,3.35,15.75,2.86
83500,38.5,0.87,20.25,1.3,20.75,1.64
83750,41.25,0.83,13.67,4.19,17.33,3.3
84000,38.5,2.06,17.5,1.5,23,3.39
84250,35,3.67,24,0,20.25,5.76
84500,23.33,8.06,16.5,8.02,18,4.9
84750,30.5,9.53,20.67,1.89,18.25,2.95
85000,36.5,2.29,20.75,1.09,15.25,2.17
85250,40.67,0.94,17.67,0.47,22,2.12
85500,41.8,0.4,13.8,4.96,17.75,2.86
85750,35.33,3.3,20.33,2.62,25.25,1.48
86000,33.33,3.4,23.25,1.3,19,1.41
86250,37,3.61,19.5,2.96,15,6.36
86500,36,0,18,5.79,16,3.39
86750,39.75,1.3,16,4.18,19.25,6.02
87000,42,0,15.5,2.29,15.25,2.95
87250,34.5,5.32,17.5,5.89,19.25,10.64
87500,32.75,2.17,23,1.22,15,7.48
87750,30.5,7.02,19.25,3.49,16,5.1
88000,30.25,8.84,14.75,8.55,15.5,7.3
88250,37.25,1.3,18.25,3.9,17.25,3.27
88500,41.25,1.3,11,1.41,17.67,2.87
88750,39.5,2.87,13.33,7.32,19.75,4.44
89000,35.25,3.27,22.5,1.12,20.25,5.8
89250,31,6.44,15.5,1.5,15.75,5.36
89500,30,7.26,19,6.12,18,2.45
89750,35.33,1.7,20.5,1.5,15.33,1.89
90000,39.5,1.5,15.25,4.71,18.25,3.27
90250,40.67,1.25,14,2,21,2
90500,37.25,1.48,24,1.87,21,10.56
90750,31.75,2.49,23.25,3.27,19.25,2.05
91000,35.5,3.28,19.25,5.89,15.25,3.27
91250,37.25,1.3,16.5,5.12,19.5,3.35
91500,39.75,1.3,12.75,3.11,21.25,5.93
91750,41.25,1.92,18,0.82,18.25,4.15
92000,37.25,1.3,25,4.58,25.25,5.36
92250,30,3.54,28.25,3.63,17.25,3.03
92500,32,8.4,22.75,2.86,22.5,2.6
92750,34,4.06,19.75,4.6,16,7.11
93000,39.75,1.48,20.33,0.47,21.33,2.49
93250,40,1.58,13.5,2.29,22.75,3.34
93500,37,1.41,28,2.45,21.67,11.09
93750,29.67,2.05,25,2.83,17.25,2.59
94000,33,5.66,20,3.74,17.5,3.35
94250,36,1.87,17,5,19,3.74
94500,39.75,0.83,14.75,1.79,22.5,2.6
94750,41.75,0.43,11.75,5.17,16.75,2.28
95000,38.5,3.91,14.33,3.4,22,2.45
95250,35.25,1.92,27.75,2.49,21.25,3.34
95500,30.25,1.09,26.25,3.9,17.25,2.86
95750,35.25,4.82,22.5,3.57,20.5,2.29
96000,36,0.82,18.67,6.34,14.5,5.89
96250,39,1.87,22,1.58,23.75,3.49
96500,42,0,18,1.87,11,2.94
96750,35.75,4.6,22.5,1.5,22.33,4.11
97000,31.25,2.77,28.5,1.12,16.5,2.69
97250,32.33,2.62,22,3.54,16.33,1.89
97500,32.67,5.44,21,2.45,18,2.12
97750,36,2.12,18,4.3,17,4.74
98000,39,1.87,16.5,1.5,23,3
98250,40.25,2.49,10.75,4.09,14,8.8
98500,35.5,2.18,26.75,3.49,24.25,6.53
98750,31.75,2.49,26.75,1.09,15.67,2.62
99000,34,4.24,22.5,1.66,18,3.67
99250,29.5,8.44,18.33,4.5,23.33,0.94
99500,35.25,1.3,21,4.24,22.67,2.62
99750,41,1.22,17.5,1.8,22,4.97
100000,40.67,1.25,15.75,2.28,19,2.83
100250,36.75,1.3,27,1.87,24.5,4.5
100500,30.33,0.47,24.67,1.25,10.5,3.2
100750,36.75,4.44,20.25,3.56,17.25,1.48
101000,37.25,0.83,13.5,8.08,19.5,2.69
101250,38.5,0.5,14.25,5.76,21.5,0.5
101500,41.5,1.12,7,3.94,19,1.22
101750,37.75,1.92,15.25,4.38,22.5,4.72
102000,35.5,2.87,26.75,1.79,22.33,5.44
102250,31.25,0.83,22.5,4.5,15.75,3.34
102500,32,6.93,22.5,1.66,21,1.41
102750,35.5,4.97,15.5,4.82,17.25,3.96
103000,40.25,1.3,11,2.83,20.75,2.17
103250,40,2.45,12.5,3.64,21,3.08
103500,34.75,2.77,23.5,3.35,24.75,3.9
103750,35,2.74,22.25,1.79,17.25,3.11
104000,37.5,2.6,20.25,8.32,18.5,1.5
104250,38.5,0.5,20.5,0.5,18.5,0.5
104500,39,0.71,15.67,5.19,21.25,0.43
104750,41.5,0.87,9.5,3.04,12.25,2.49
105000,33.33,3.68,15,2.45,20.5,2.5
105250,37,1.41,25.5,1.5,24,8.49
105500,26.5,4.5,20.5,4.5,17,2.45
105750,35.33,8.06,23,2.45,20.5,2.29
106000,33,7.58,16.33,4.19,13,5.1
106250,41.25,1.09,19.67,1.89,23,1.63
106500,42,0.71,17.33,2.05,16.75,3.63
106750,35.5,3.57,19.25,1.64,21.25,1.64
107000,32.75,2.17,23.75,0.43,21.75,1.92
107250,34.5,3.35,18.75,3.49,15.33,5.31
107500,30,6.96,15.67,3.68,16.67,3.3
107750,37.25,0.83,19,5.1,20.5,2.87
108000,40.5,1.5,16.75,1.3,19.25,2.77
108250,40,2.45,16,5.79,22,2
108500,34.5,3.35,28.33,1.25,22.67,3.86
108750,34,2.83,26.33,2.49,19,1.58
109000,32,4.55,20,1.73,20,2.16
109250,38.2,1.94,19.75,5.31,19.2,6.21
109500,42,0,14.25,2.59,25.67,1.25
109750,42.33,0.94,13.33,3.4,16.75,1.3
110000,38,1.41,11.5,0.5,17.67,11.15
110250,35,3.67,28.33,1.25,23,4.97
110500,37.25,4.02,24.75,2.28,14.75,3.56
110750,35,1.41,20.67,2.49,17.5,5.5
111000,37.75,0.83,17.67,6.94,20.83,4.22
111250,41.5,1.12,11.5,4.61,17.33,6.02
111500,38.5,2.29,12,3,22.33,3.09
111750,34.5,3.35,26.5,1.5,23.25,5.12
112000,32,2.45,25.25,1.79,19.75,1.64
112250,37,1.41,19.5,3.77,18,2.45
112500,32,6.82,13.67,7.54,15,2.45
112750,40.5,1.66,13.5,5.17,21,0
113000,43.5,1.5,19.33,1.7,13,1.41
113250,33.33,3.77,21,5.1,22.5,3.35
113500,32.5,2.87,27.5,0.5,18.75,3.27
113750,32.75,4.71,20,3.67,17.25,3.27
114000,28.5,9.63,19.25,1.3,21.25,1.92
114250,36.5,2.29,18.67,3.3,20.67,0.47
114500,41,0.82,9.5,1.8,20,5.66
114750,40,4,10.5,4.39,19,4.85
115000,33,4.24,21.75,4.97,26.67,0.47
115250,30,0,25.5,1.5,18,2.45
115500,38,2.45,21.25,3.83,16.75,1.92
115750,33.75,4.44,13.5,6.8,14.5,4.5
116000,37,1,17.5,2.5,22,1.87
116250,38,1,12.5,2.5,20,3.74
116500,38.75,3.49,14.5,3.35,23.67,2.05
116750,33,3.27,22.5,4.39,26.5,3.91
117000,32.25,2.28,23,1.41,14,4.53
117250,37,2.74,21,6.52,15.25,3.34
117500,38,1.22,12.33,8.38,20,1.41
117750,40.5,1.5,15.2,5.04,18.2,3.66
118000,39,2.45,11.5,0.5,23,2.16
118250,33.75,4.44,18,4.9,24,3.27
118500,31.5,4.72,20.75,5.63,17.25,2.86
118750,35,3,21.5,2.5,15.75,7.76
119000,40.25,2.49,19.75,3.27,21.5,2.29
119250,41.5,0.87,12.75,4.44,17.75,2.38
119500,33.33,6.18,15.5,3.77,17,4.32
119750,34,2.12,24.5,1.8,22.25,2.59
